#YYY MM DD  days  days_m  Bsr dB    Kp1    Kp2    Kp3    Kp4    Kp5    Kp6    Kp7    Kp8  ap1  ap2  ap3  ap4  ap5  ap6  ap7  ap8    Ap  SN F10.7obs F10.7adj D
1944 04 24  4497  4497.5 1518 25  3.333  3.667  3.667  2.333  3.000  1.667  1.667  2.333   18   22   22    9   15    6    6    9    13   0     -1.0     -1.0 2
1944 04 25  4498  4498.5 1518 26  3.333  2.000  1.667  0.667  0.667  1.000  2.333  2.667   18    7    6    3    3    4    9   12     8   0     -1.0     -1.0 2
1944 04 26  4499  4499.5 1518 27  2.333  2.667  2.333  1.333  1.000  2.333  2.667  2.333    9   12    9    5    4    9   12    9     9   0     -1.0     -1.0 2
1944 04 27  4500  4500.5 1519  1  2.333  2.667  1.667  3.000  2.333  2.333  3.667  2.667    9   12    6   15    9    9   22   12    12   0     -1.0     -1.0 2
1944 04 28  4501  4501.5 1519  2  3.333  2.667  2.333  2.000  2.333  2.333  3.000  1.333   18   12    9    7    9    9   15    5    10   0     -1.0     -1.0 2
1944 04 29  4502  4502.5 1519  3  1.000  2.667  3.000  2.333  3.000  2.333  2.000  1.333    4   12   15    9   15    9    7    5    10   0     -1.0     -1.0 2
1944 04 30  4503  4503.5 1519  4  2.333  4.000  5.333  4.667  2.000  2.667  1.333  3.333    9   27   56   39    7   12    5   18    22   0     -1.0     -1.0 2
1944 05 01  4504  4504.5 1519  5  3.333  2.667  2.667  3.333  6.000  5.667  4.333  4.667   18   12   12   18   80   67   32   39    35   0     -1.0     -1.0 2
1944 05 02  4505  4505.5 1519  6  3.667  5.000  4.333  5.000  4.333  3.000  2.000  2.000   22   48   32   48   32   15    7    7    26   0     -1.0     -1.0 2
1944 05 03  4506  4506.5 1519  7  2.667  2.667  2.000  1.333  3.333  2.000  1.000  1.333   12   12    7    5   18    7    4    5     9   0     -1.0     -1.0 2
1944 05 04  4507  4507.5 1519  8  1.000  0.667  0.667  3.667  3.000  3.333  5.000  5.000    4    3    3   22   15   18   48   48    20   0     -1.0     -1.0 2
1944 05 05  4508  4508.5 1519  9  4.333  2.333  2.333  3.333  4.000  3.000  3.333  1.667   32    9    9   18   27   15   18    6    17   0     -1.0     -1.0 2
1944 05 06  4509  4509.5 1519 10  4.000  2.333  2.667  4.000  3.333  3.667  4.333  2.333   27    9   12   27   18   22   32    9    20   0     -1.0     -1.0 2
1944 05 07  4510  4510.5 1519 11  2.000  2.667  4.000  2.667  3.000  3.333  3.000  2.667    7   12   27   12   15   18   15   12    15   0     -1.0     -1.0 2
1944 05 08  4511  4511.5 1519 12  3.333  3.333  3.000  2.667  1.000  0.667  1.000  1.667   18   18   15   12    4    3    4    6    10   0     -1.0     -1.0 2
1944 05 09  4512  4512.5 1519 13  0.333  0.667  1.333  0.667  0.333  0.667  2.333  1.333    2    3    5    3    2    3    9    5     4   0     -1.0     -1.0 2
1944 05 10  4513  4513.5 1519 14  2.333  0.667  0.333  0.333  0.667  0.667  0.667  1.667    9    3    2    2    3    3    3    6     4   0     -1.0     -1.0 2
1944 05 11  4514  4514.5 1519 15  1.333  1.667  1.333  0.667  1.000  1.000  1.000  1.667    5    6    5    3    4    4    4    6     5   0     -1.0     -1.0 2
1944 05 12  4515  4515.5 1519 16  1.667  0.667  0.667  1.667  1.000  1.333  1.667  2.000    6    3    3    6    4    5    6    7     5   0     -1.0     -1.0 2
1944 05 13  4516  4516.5 1519 17  0.333  0.667  0.333  0.667  0.333  0.333  0.333  1.333    2    3    2    3    2    2    2    5     3   0     -1.0     -1.0 2
1944 05 14  4517  4517.5 1519 18  0.333  1.333  1.667  1.000  0.667  0.333  0.333  1.000    2    5    6    4    3    2    2    4     4   0     -1.0     -1.0 2
1944 05 15  4518  4518.5 1519 19  2.667  2.333  2.000  0.667  0.333  0.333  0.333  0.333   12    9    7    3    2    2    2    2     5   0     -1.0     -1.0 2
1944 05 16  4519  4519.5 1519 20  0.000  0.667  0.667  0.333  1.000  0.333  0.333  0.333    0    3    3    2    4    2    2    2     2   0     -1.0     -1.0 2
1944 05 17  4520  4520.5 1519 21  1.667  1.000  0.667  0.667  1.000  0.000  0.333  1.667    6    4    3    3    4    0    2    6     4   0     -1.0     -1.0 2
1944 05 18  4521  4521.5 1519 22  1.000  0.667  0.667  1.333  0.667  0.000  0.667  1.333    4    3    3    5    3    0    3    5     3   0     -1.0     -1.0 2
1944 05 19  4522  4522.5 1519 23  1.333  0.333  1.000  0.667  1.333  0.333  1.000  1.000    5    2    4    3    5    2    4    4     4   0     -1.0     -1.0 2
1944 05 20  4523  4523.5 1519 24  0.333  0.333  0.000  0.333  0.333  0.333  0.000  0.000    2    2    0    2    2    2    0    0     1   0     -1.0     -1.0 2
1944 05 21  4524  4524.5 1519 25  0.667  0.667  0.667  1.000  0.333  0.667  0.333  1.333    3    3    3    4    2    3    2    5     3   0     -1.0     -1.0 2
1944 05 22  4525  4525.5 1519 26  0.333  0.333  1.000  0.667  1.000  1.000  1.667  1.667    2    2    4    3    4    4    6    6     4   0     -1.0     -1.0 2
1944 05 23  4526  4526.5 1519 27  1.000  2.000  1.000  1.333  1.667  1.667  1.667  1.667    4    7    4    5    6    6    6    6     6   0     -1.0     -1.0 2
